Time Ia Ib Ic Ia Ib Ic
0.00090000000000000171 7.3185901783290319e-06 -2.162892087653745e-05 1.4310330698208418e-05 7.3185901783290319e-06 -2.162892087653745e-05 1.4310330698208418e-05
0.00091000000000000174 7.4038553066202439e-06 -2.1643131731252652e-05 1.4239276424632408e-05 7.4038553066202439e-06 -2.1643131731252652e-05 1.4239276424632408e-05
0.00092000000000000176 7.474909580196254e-06 -2.1657342585967854e-05 1.4168222151056398e-05 7.474909580196254e-06 -2.1657342585967854e-05 1.4168222151056398e-05
0.00093000000000000179 7.545963853772264e-06 -2.1671553440683056e-05 1.4097167877480388e-05 7.545963853772264e-06 -2.1671553440683056e-05 1.4097167877480388e-05
0.00094000000000000182 7.631228982063476e-06 -2.169997515011346e-05 1.4054535313334782e-05 7.631228982063476e-06 -2.169997515011346e-05 1.4054535313334782e-05
0.00095000000000000184 7.709388682997087e-06 -2.169997515011346e-05 1.3983481039758772e-05 7.709388682997087e-06 -2.169997515011346e-05 1.3983481039758772e-05
0.00096000000000000187 7.780442956573097e-06 -2.1685764295398258e-05 1.3940848475613166e-05 7.780442956573097e-06 -2.1685764295398258e-05 1.3940848475613166e-05
0.00097000000000000189 7.8728135122219101e-06 -2.1728396859543864e-05 1.3869794202037156e-05 7.8728135122219101e-06 -2.1728396859543864e-05 1.3869794202037156e-05
0.00098000000000000192 7.9509732131555211e-06 -2.1742607714259066e-05 1.3798739928461146e-05 7.9509732131555211e-06 -2.1742607714259066e-05 1.3798739928461146e-05
0.00099000000000000195 8.0149220593739301e-06 -2.1742607714259066e-05 1.3741896509600338e-05 8.0149220593739301e-06 -2.1742607714259066e-05 1.3741896509600338e-05
0.001000000000000002 8.1001871876651421e-06 -2.177102942368947e-05 1.3670842236024328e-05 8.1001871876651421e-06 -2.177102942368947e-05 1.3670842236024328e-05
0.001010000000000002 8.1783468885987531e-06 -2.177102942368947e-05 1.3599787962448318e-05 8.1783468885987531e-06 -2.177102942368947e-05 1.3599787962448318e-05
0.001020000000000002 8.2494011621747632e-06 -2.177102942368947e-05 1.3528733688872308e-05 8.2494011621747632e-06 -2.177102942368947e-05 1.3528733688872308e-05
